"",".variable","rhat","truncate","quantile"
"1","b_Intercept",0.999856425386135,FALSE,NA
"2","b_erapresent",1.00041584474797,FALSE,NA
"3","b_x2z",1.00013423602458,FALSE,NA
"4","b_x3z",1.00137240190291,FALSE,NA
"5","b_erapresent:x2z",1.00019083168318,FALSE,NA
"6","b_erapresent:x3z",1.00096960202359,FALSE,NA
"7","sd_sampleUnit__Intercept",1.00367127355662,FALSE,NA
"8","sigma",0.999256192720657,FALSE,NA
"9","r_sampleUnit[areaA_zone1,Intercept]",1.00016402066794,FALSE,NA
"10","r_sampleUnit[areaA_zone2,Intercept]",0.999674689183313,FALSE,NA
"11","r_sampleUnit[areaA_zone3,Intercept]",1.00089124848927,FALSE,NA
"12","r_sampleUnit[areaB_zone1,Intercept]",1.00097708132592,FALSE,NA
"13","r_sampleUnit[areaB_zone2,Intercept]",1.00007653436418,FALSE,NA
"14","r_sampleUnit[areaB_zone3,Intercept]",0.999786014574954,FALSE,NA
"15","r_sampleUnit[areaC_zone2,Intercept]",0.99946537073059,FALSE,NA
"16","r_sampleUnit[areaC_zone3,Intercept]",1.0009946809267,FALSE,NA
"17","r_sampleUnit[areaA_zone1_quad1,Intercept]",1.00179114518872,FALSE,NA
"18","r_sampleUnit[areaA_zone2_quad1,Intercept]",1.00018053674311,FALSE,NA
"19","r_sampleUnit[areaA_zone3_quad1,Intercept]",1.00033050511257,FALSE,NA
"20","r_sampleUnit[areaA_zone3_quad2,Intercept]",1.00111514748171,FALSE,NA
"21","r_sampleUnit[areaA_zone3_quad3,Intercept]",1.0028223634298,FALSE,NA
"22","r_sampleUnit[areaA_zone2_quad2,Intercept]",1.00171023578967,FALSE,NA
"23","r_sampleUnit[areaA_zone2_quad3,Intercept]",1.00031380739727,FALSE,NA
"24","r_sampleUnit[areaA_zone1_quad2,Intercept]",1.00203954509473,FALSE,NA
"25","r_sampleUnit[areaA_zone1_quad3,Intercept]",1.00011926093662,FALSE,NA
"26","r_sampleUnit[areaB_zone3_quad1,Intercept]",0.999641078985156,FALSE,NA
"27","r_sampleUnit[areaB_zone3_quad2,Intercept]",1.00046198187543,FALSE,NA
"28","r_sampleUnit[areaB_zone3_quad3,Intercept]",1.00067959288432,FALSE,NA
"29","r_sampleUnit[areaB_zone2_quad1,Intercept]",0.999841244323584,FALSE,NA
"30","r_sampleUnit[areaB_zone2_quad2,Intercept]",1.00056655817471,FALSE,NA
"31","r_sampleUnit[areaB_zone2_quad3,Intercept]",1.00182180905737,FALSE,NA
"32","r_sampleUnit[areaB_zone1_quad1,Intercept]",1.00075313903794,FALSE,NA
"33","r_sampleUnit[areaB_zone1_quad2,Intercept]",1.00005216108738,FALSE,NA
"34","r_sampleUnit[areaB_zone1_quad3,Intercept]",1.00142590038508,FALSE,NA
"35","r_sampleUnit[areaC_zone3_quad1,Intercept]",1.00036817057341,FALSE,NA
"36","r_sampleUnit[areaC_zone3_quad2,Intercept]",0.999752376632795,FALSE,NA
"37","r_sampleUnit[areaC_zone3_quad3,Intercept]",1.00003909480137,FALSE,NA
"38","r_sampleUnit[areaC_zone3_quad4,Intercept]",0.999711994796475,FALSE,NA
"39","r_sampleUnit[areaC_zone3_quad5,Intercept]",1.00011942521804,FALSE,NA
"40","r_sampleUnit[areaC_zone2_quad1,Intercept]",1.00112479967348,FALSE,NA
"41","r_sampleUnit[areaC_zone2_quad2,Intercept]",1.00050835009648,FALSE,NA
"42","r_sampleUnit[areaC_zone2_quad3,Intercept]",0.99952530433185,FALSE,NA
"43","lp__",1.00725257165259,FALSE,NA
"44","b_Intercept",1.00026524890088,TRUE,0
"45","b_erapresent",0.99970195225384,TRUE,0
"46","b_x2z",1.00148590931304,TRUE,0
"47","b_x3z",1.00134137206647,TRUE,0
"48","b_erapresent:x2z",1.00078082738753,TRUE,0
"49","b_erapresent:x3z",1.00036897379889,TRUE,0
"50","sd_sampleUnit__Intercept",1.00158205809594,TRUE,0
"51","sigma",0.999599659756957,TRUE,0
"52","r_sampleUnit[areaA_zone1,Intercept]",1.00262220898193,TRUE,0
"53","r_sampleUnit[areaA_zone2,Intercept]",0.999902212291576,TRUE,0
"54","r_sampleUnit[areaA_zone3,Intercept]",0.999870149641876,TRUE,0
"55","r_sampleUnit[areaB_zone1,Intercept]",1.00236423083239,TRUE,0
"56","r_sampleUnit[areaB_zone2,Intercept]",1.00043957349851,TRUE,0
"57","r_sampleUnit[areaB_zone3,Intercept]",1.00062176821514,TRUE,0
"58","r_sampleUnit[areaC_zone2,Intercept]",1.0001165274772,TRUE,0
"59","r_sampleUnit[areaC_zone3,Intercept]",0.999886303989363,TRUE,0
"60","r_sampleUnit[areaA_zone1_quad1,Intercept]",1.00013545587902,TRUE,0
"61","r_sampleUnit[areaA_zone2_quad1,Intercept]",0.999635516393104,TRUE,0
"62","r_sampleUnit[areaA_zone3_quad1,Intercept]",0.999753339921069,TRUE,0
"63","r_sampleUnit[areaA_zone3_quad2,Intercept]",0.999658638004301,TRUE,0
"64","r_sampleUnit[areaA_zone3_quad3,Intercept]",1.00020008370273,TRUE,0
"65","r_sampleUnit[areaA_zone2_quad2,Intercept]",0.999799258521883,TRUE,0
"66","r_sampleUnit[areaA_zone2_quad3,Intercept]",1.00048376052361,TRUE,0
"67","r_sampleUnit[areaA_zone1_quad2,Intercept]",0.999935362536342,TRUE,0
"68","r_sampleUnit[areaA_zone1_quad3,Intercept]",0.999925619530808,TRUE,0
"69","r_sampleUnit[areaB_zone3_quad1,Intercept]",1.00075160345452,TRUE,0
"70","r_sampleUnit[areaB_zone3_quad2,Intercept]",0.999456827637842,TRUE,0
"71","r_sampleUnit[areaB_zone3_quad3,Intercept]",0.999419474591712,TRUE,0
"72","r_sampleUnit[areaB_zone2_quad1,Intercept]",0.999539050450201,TRUE,0
"73","r_sampleUnit[areaB_zone2_quad2,Intercept]",1.00079893963149,TRUE,0
"74","r_sampleUnit[areaB_zone2_quad3,Intercept]",1.00031193638848,TRUE,0
"75","r_sampleUnit[areaB_zone1_quad1,Intercept]",1.00017475824787,TRUE,0
"76","r_sampleUnit[areaB_zone1_quad2,Intercept]",1.00113263695765,TRUE,0
"77","r_sampleUnit[areaB_zone1_quad3,Intercept]",1.00013507055352,TRUE,0
"78","r_sampleUnit[areaC_zone3_quad1,Intercept]",1.00025713990641,TRUE,0
"79","r_sampleUnit[areaC_zone3_quad2,Intercept]",1.00019047525161,TRUE,0
"80","r_sampleUnit[areaC_zone3_quad3,Intercept]",0.999505167610688,TRUE,0
"81","r_sampleUnit[areaC_zone3_quad4,Intercept]",0.999556291481663,TRUE,0
"82","r_sampleUnit[areaC_zone3_quad5,Intercept]",1.00035241184829,TRUE,0
"83","r_sampleUnit[areaC_zone2_quad1,Intercept]",0.999723544537826,TRUE,0
"84","r_sampleUnit[areaC_zone2_quad2,Intercept]",1.00044312131687,TRUE,0
"85","r_sampleUnit[areaC_zone2_quad3,Intercept]",0.999850505371402,TRUE,0
"86","lp__",1.00194289393128,TRUE,0
"87","b_Intercept",1.00211774731509,TRUE,0.1
"88","b_erapresent",1.00354103277575,TRUE,0.1
"89","b_x2z",1.00133041971664,TRUE,0.1
"90","b_x3z",0.999555793575941,TRUE,0.1
"91","b_erapresent:x2z",1.00198266720649,TRUE,0.1
"92","b_erapresent:x3z",1.00006073912513,TRUE,0.1
"93","sd_sampleUnit__Intercept",1.00205358418681,TRUE,0.1
"94","sigma",0.999987993795401,TRUE,0.1
"95","r_sampleUnit[areaA_zone1,Intercept]",0.999722542179426,TRUE,0.1
"96","r_sampleUnit[areaA_zone2,Intercept]",1.00140943900979,TRUE,0.1
"97","r_sampleUnit[areaA_zone3,Intercept]",1.00082751934062,TRUE,0.1
"98","r_sampleUnit[areaB_zone1,Intercept]",0.999441224749822,TRUE,0.1
"99","r_sampleUnit[areaB_zone2,Intercept]",1.00196793967831,TRUE,0.1
"100","r_sampleUnit[areaB_zone3,Intercept]",1.00173723777714,TRUE,0.1
"101","r_sampleUnit[areaC_zone2,Intercept]",1.00086248889707,TRUE,0.1
"102","r_sampleUnit[areaC_zone3,Intercept]",1.00042299514806,TRUE,0.1
"103","r_sampleUnit[areaA_zone1_quad1,Intercept]",1.00038563802637,TRUE,0.1
"104","r_sampleUnit[areaA_zone2_quad1,Intercept]",1.00082735319864,TRUE,0.1
"105","r_sampleUnit[areaA_zone3_quad1,Intercept]",0.999378840205688,TRUE,0.1
"106","r_sampleUnit[areaA_zone3_quad2,Intercept]",0.999173398174875,TRUE,0.1
"107","r_sampleUnit[areaA_zone3_quad3,Intercept]",1.00012562646449,TRUE,0.1
"108","r_sampleUnit[areaA_zone2_quad2,Intercept]",0.999470364191758,TRUE,0.1
"109","r_sampleUnit[areaA_zone2_quad3,Intercept]",0.99997888739837,TRUE,0.1
"110","r_sampleUnit[areaA_zone1_quad2,Intercept]",1.00022175390421,TRUE,0.1
"111","r_sampleUnit[areaA_zone1_quad3,Intercept]",1.0007960750383,TRUE,0.1
"112","r_sampleUnit[areaB_zone3_quad1,Intercept]",1.00022249875251,TRUE,0.1
"113","r_sampleUnit[areaB_zone3_quad2,Intercept]",0.999673098115113,TRUE,0.1
"114","r_sampleUnit[areaB_zone3_quad3,Intercept]",0.999430661832244,TRUE,0.1
"115","r_sampleUnit[areaB_zone2_quad1,Intercept]",1.00066523523449,TRUE,0.1
"116","r_sampleUnit[areaB_zone2_quad2,Intercept]",0.999142603187925,TRUE,0.1
"117","r_sampleUnit[areaB_zone2_quad3,Intercept]",1.00013682626056,TRUE,0.1
"118","r_sampleUnit[areaB_zone1_quad1,Intercept]",1.00014489583891,TRUE,0.1
"119","r_sampleUnit[areaB_zone1_quad2,Intercept]",1.00007906785299,TRUE,0.1
"120","r_sampleUnit[areaB_zone1_quad3,Intercept]",1.00054382816794,TRUE,0.1
"121","r_sampleUnit[areaC_zone3_quad1,Intercept]",0.999481378363767,TRUE,0.1
"122","r_sampleUnit[areaC_zone3_quad3,Intercept]",0.99937619532917,TRUE,0.1
"123","r_sampleUnit[areaC_zone3_quad4,Intercept]",0.999221521493882,TRUE,0.1
"124","r_sampleUnit[areaC_zone3_quad5,Intercept]",0.999455859496514,TRUE,0.1
"125","r_sampleUnit[areaC_zone2_quad1,Intercept]",1.00143534879676,TRUE,0.1
"126","r_sampleUnit[areaC_zone2_quad2,Intercept]",1.00130874565882,TRUE,0.1
"127","r_sampleUnit[areaC_zone2_quad3,Intercept]",1.00032471361094,TRUE,0.1
"128","lp__",1.0049674852767,TRUE,0.1
"129","b_Intercept",0.999639727844239,TRUE,0.15
"130","b_erapresent",1.0003624519033,TRUE,0.15
"131","b_x2z",0.999349877126284,TRUE,0.15
"132","b_x3z",1.00281988549671,TRUE,0.15
"133","b_erapresent:x2z",0.999488244335049,TRUE,0.15
"134","b_erapresent:x3z",1.00200229801039,TRUE,0.15
